4,11,0,0.183,1.80E-07,13.81s
4,11,0,0.183,9.00E-08,13.81s
5,13,0,0.277,1.10E-08,0.01736s
5,13,0,0.277,5.70E-09,0.01736s
5,14,0,0.277,1.50E-06,0.013800000000000002s
5,14,0,0.277,7.00E-07,0.013800000000000002s
6,10,0,0.183,0.042,19.255s
6,10,0,0.183,0.09,19.255s
6,11,0,0.183,1.00E-04,20.39m
6,11,0,0.183,2.10E-04,20.39m
6,15,0,0.392,1.50E-08,2.449s
6,15,0,0.392,2.90E-08,2.449s
6,16,0,0.392,2.50E-05,0.747s
6,16,0,0.392,4.90E-05,0.747s
7,12,0,0.277,1.40E-08,0.011s
7,12,0,0.277,7.00E-09,0.011s
7,13,0,0.277,0.00031,9.965m
7,13,0,0.277,1.60E-04,9.965m
7,16,0,0.525,1.00E-07,7.13s
7,16,0,0.525,5.00E-08,7.13s
7,17,0,0.525,1.30E-07,4.173s
7,17,0,0.525,6.00E-08,4.173s
7,18,0,0.525,1.20E-06,0.624s
7,18,0,0.525,2.30E-06,0.624s
8,14,0,0.392,0.00032,70.606s
8,14,0,0.392,1.60E-04,70.606s
8,15,0,0.392,0.00026,122.24s
8,15,0,0.392,1.30E-04,122.24s
8,19,0,0.677,0.0007,26.91s
8,19,0,0.677,0.0015,26.91s
8,20,0,0.677,2.00E-05,13.51s
8,20,0,0.677,4.10E-05,13.51s
8,21,0,0.677,4.40E-05,3.42s
8,21,0,0.677,9.00E-05,3.42s
9,17,0,0.525,0.00031,64.49s
9,17,0,0.525,0.00062,64.49s
9,18,0,0.525,0.007,109.77m
9,18,0,0.525,0.014,109.77m
9,20,0,0.848,1.88E-06,11.00s
9,20,0,0.849,3.80E-06,11.00s
9,21,0,0.822,2.90E-11,4.158s
9,21,0,0.848,0.0097,4.158s
9,21,0,0.849,0.0194,4.158s
9,22,0,0.848,7.50E-06,4.23s
9,22,0,0.849,1.49E-05,4.23s
9,23,0,0.848,5.90E-05,2.23s
9,23,0,0.849,1.20E-04,2.23s
9,24,0,0.848,1.30E-06,0.34s
9,24,0,0.849,2.60E-06,0.34s
10,17,0,0.677,1.40E-07,0.1092s
10,17,0,0.677,2.80E-07,0.1092s
10,18,0,0.677,1.00E-04,1.672s
10,18,0,0.677,2.10E-04,1.672s
10,19,0,0.677,1.80E-07,17.22s
10,19,0,0.677,9.00E-08,17.22s
10,23,0,1.041,0.0016,37.24s
10,23,0,1.041,0.0032,37.24s
10,25,0,1.009,6.30E-07,0.602s
10,25,0,1.041,106,0.602s
10,25,0,1.041,212,0.602s
11,20,0,0.848,1.51E-06,0.44789999999999996s
11,20,0,0.849,3.00E-06,0.44789999999999996s
11,21,0,0.848,0.0005,22.49s
11,21,0,0.849,0.001,22.49s
11,22,0,0.848,0.0014,2.6019y
11,22,0,0.849,0.0028,2.6019y
11,24,0,1.254,1.14E-05,14.9590h
11,24,0,1.254,2.27E-05,14.9590h
11,24,472.207,1.041,1.98E-04,0.0202s
11,24,472.207,1.041,9.90E-05,0.0202s
11,25,0,1.216,1.90E-11,59.1s
11,25,0,1.254,0.00211,59.1s
11,25,0,1.254,0.0042,59.1s
11,26,0,1.254,1.50E-05,1.072s
11,26,0,1.254,3.00E-05,1.072s
11,27,0,1.254,0.0003,0.301s
11,27,0,1.254,1.52E-04,0.301s
11,28,0,1.254,3.60E-06,0.0305s
11,28,0,1.254,7.20E-06,0.0305s
12,21,0,1.009,7.50E-11,0.122s
12,21,0,1.041,0.0125,0.122s
12,21,0,1.041,0.025,0.122s
12,22,0,1.009,1.61E-06,3.857s
12,22,0,1.041,267,3.857s
12,22,0,1.041,535,3.857s
12,23,0,1.041,0.00091,11.317s
12,23,0,1.041,0.00182,11.317s
12,27,0,0.073,5.00E-05,9.458m
12,27,0,0.112,1.80E-06,9.458m
12,27,0,0.112,2.80E-06,9.458m
12,27,0,1.442,5.10E-10,9.458m
12,27,0,1.486,0.034,9.458m
12,27,0,1.487,0.068,9.458m
12,27,0,1.554,0.00041,9.458m
12,27,0,1.554,2.10E-04,9.458m
12,28,0,0.073,1055,20.91h
12,28,0,0.112,16,20.91h
12,28,0,0.112,26,20.91h
12,28,0,1.442,0.0052,20.91h
12,28,0,1.486,3.40E+05,20.91h
12,28,0,1.487,6.80E+05,20.91h
12,28,0,1.554,2085,20.91h
12,28,0,1.554,4091,20.91h
12,29,0,0.073,9.00E-08,1.30s
12,29,0,0.112,3.80E-09,1.30s
12,29,0,0.112,6.10E-09,1.30s
12,29,0,1.486,7.20E-05,1.30s
12,29,0,1.487,1.44E-04,1.30s
12,29,0,1.554,4.40E-07,1.30s
12,29,0,1.554,8.60E-07,1.30s
13,24,0,1.254,0.00046,2.053s
13,24,0,1.254,0.00092,2.053s
13,24,425.8,0.073,4.30E-07,0.1313s
13,24,425.8,0.112,1.80E-08,0.1313s
13,24,425.8,0.112,2.80E-08,0.1313s
13,24,425.8,1.254,1.96E-05,0.1313s
13,24,425.8,1.254,3.90E-05,0.1313s
13,24,425.8,1.486,0.00033,0.1313s
13,24,425.8,1.487,0.00066,0.1313s
13,24,425.8,1.554,2.03E-06,0.1313s
13,24,425.8,1.554,4.00E-06,0.1313s
13,25,0,1.254,0.00075,7.183s
13,25,0,1.254,0.00149,7.183s
13,26,0,1.216,1.46E-09,7.17E+5y
13,26,0,1.254,0.162,7.17E+5y
13,26,0,1.254,0.33,7.17E+5y
13,26,228.305,1.254,0.00071,6.3452s
13,26,228.305,1.254,0.00143,6.3452s
13,28,0,0.1,7.10E-09,2.2414m
13,28,0,0.146,1.10E-09,2.2414m
13,28,0,0.146,7.00E-10,2.2414m
13,28,0,1.739,1.40E-05,2.2414m
13,28,0,1.74,2.80E-05,2.2414m
13,28,0,1.836,2.43E-07,2.2414m
13,28,0,1.836,4.80E-07,2.2414m
13,29,0,0.1,9.00E-08,6.56m
13,29,0,0.146,1.30E-08,6.56m
13,29,0,0.146,8.00E-09,6.56m
13,29,0,1.739,1.71E-04,6.56m
13,29,0,1.74,0.00034,6.56m
13,29,0,1.836,3.00E-06,6.56m
13,29,0,1.836,5.80E-06,6.56m
13,30,0,0.1,2.20E-04,3.60s
13,30,0,0.146,1.30E-05,3.60s
13,30,0,0.146,8.00E-06,3.60s
13,30,0,1.69,2.50E-09,3.60s
13,30,0,1.739,0.16,3.60s
13,30,0,1.74,0.3,3.60s
13,30,0,1.836,0.001,3.60s
13,30,0,1.836,0.0019,3.60s
13,31,0,0.1,3.10E-07,0.644s
13,31,0,0.146,1.70E-08,0.644s
13,31,0,0.146,2.70E-08,0.644s
13,31,0,1.739,0.00033,0.644s
13,31,0,1.74,0.0007,0.644s
13,31,0,1.836,3.90E-06,0.644s
13,31,0,1.836,7.70E-06,0.644s
13,32,0,0.1,8.00E-08,0.033s
13,32,0,0.146,3.00E-09,0.033s
13,32,0,0.146,5.00E-09,0.033s
13,32,0,1.69,2.30E-10,0.033s
13,32,0,1.739,0.03,0.033s
13,32,0,1.74,0.05,0.033s
13,32,0,1.836,4.00E-07,0.033s
13,32,0,1.836,8.00E-07,0.033s
14,24,0,0.073,9.00E-08,0.102s
14,24,0,0.112,3.60E-09,0.102s
14,24,0,0.112,5.80E-09,0.102s
14,24,0,1.486,5.10E-05,0.102s
14,24,0,1.487,1.03E-04,0.102s
14,24,0,1.554,3.10E-07,0.102s
14,24,0,1.554,6.20E-07,0.102s
14,26,0,0.073,1.90E-06,2.234s
14,26,0,0.112,1.30E-07,2.234s
14,26,0,0.112,8.00E-08,2.234s
14,26,0,1.442,1.77E-11,2.234s
14,26,0,1.486,0.00117,2.234s
14,26,0,1.487,0.00234,2.234s
14,26,0,1.554,1.40E-05,2.234s
14,26,0,1.554,7.20E-06,2.234s
14,27,0,0.073,1.40E-06,4.16s
14,27,0,0.112,5.80E-08,4.16s
14,27,0,0.112,9.00E-08,4.16s
14,27,0,1.442,1.25E-11,4.16s
14,27,0,1.486,0.00082,4.16s
14,27,0,1.487,0.00165,4.16s
14,27,0,1.554,5.00E-06,4.16s
14,27,0,1.554,9.90E-06,4.16s
14,31,0,2.009,2.50E-08,157.3m
14,31,0,2.01,5.10E-08,157.3m
14,31,0,2.136,1.53E-09,157.3m
14,31,0,2.136,7.70E-10,157.3m
14,36,0,0.136,1.00E-06,0.45s
14,36,0,0.179,1.60E-07,0.45s
14,36,0,0.179,2.50E-07,0.45s
14,36,0,1.956,9.70E-11,0.45s
14,36,0,2.009,0.0029,0.45s
14,36,0,2.01,0.0057,0.45s
14,36,0,2.136,1.70E-04,0.45s
14,36,0,2.136,8.70E-05,0.45s
15,28,0,0.1,8.00E-09,0.2703s
15,28,0,0.146,1.30E-09,0.2703s
15,28,0,0.146,8.00E-10,0.2703s
15,28,0,1.739,1.66E-05,0.2703s
15,28,0,1.74,3.30E-05,0.2703s
15,28,0,1.836,2.90E-07,0.2703s
15,28,0,1.836,5.70E-07,0.2703s
15,29,0,0.1,8.30E-07,4.140s
15,29,0,0.146,1.30E-07,4.140s
15,29,0,0.146,8.00E-08,4.140s
15,29,0,1.69,2.70E-11,4.140s
15,29,0,1.739,0.00124,4.140s
15,29,0,1.74,0.0025,4.140s
15,29,0,1.836,2.15E-05,4.140s
15,29,0,1.836,4.20E-05,4.140s
15,30,0,0.1,1.40E-06,2.498m
15,30,0,0.146,1.40E-07,2.498m
15,30,0,0.146,2.20E-07,2.498m
15,30,0,1.69,4.60E-11,2.498m
15,30,0,1.739,0.00216,2.498m
15,30,0,1.74,0.0043,2.498m
15,30,0,1.836,3.70E-05,2.498m
15,30,0,1.836,7.40E-05,2.498m
15,34,0,0.165,0.004,12.43s
15,34,0,0.221,0.0003,12.43s
15,34,0,0.221,0.0005,12.43s
15,34,0,2.243,1.30E-07,12.43s
15,34,0,2.307,6,12.43s
15,34,0,2.308,12,12.43s
15,34,0,2.464,0.11,12.43s
